FileA,FileB,AST,LCS,TFIDF,Hybrid,GroundTruth
03.java,O6.java,68.4211,75.0000,96.1948,79.8720,0
03.java,P4.java,43.3962,57.8947,93.8315,65.0408,0
03.java,P1.java,2.0408,4.0000,0.0000,2.0136,0
03.java,U7.java,52.7273,69.0476,99.7096,73.8282,0
03.java,U5.java,38.4615,50.0000,97.7266,62.0627,0
03.java,09.java,60.9375,67.9612,93.9944,74.2977,0
03.java,U2.java,70.9091,78.7234,97.0652,82.2326,0
03.java,P7.java,71.8750,78.1818,98.6315,82.8961,0
03.java,P10.java,60.5634,68.4211,95.6196,74.8680,0
03.java,P2.java,70.3704,76.0870,98.1353,81.5309,0
03.java,O10.java,63.7931,69.4737,95.3079,76.1916,0
03.java,P8.java,55.5556,61.9048,96.2091,71.2232,0
03.java,P5.java,63.2353,68.4685,92.4684,74.7241,0
03.java,U4.java,40.8163,52.1739,94.0605,62.3502,0
03.java,U8.java,34.4828,48.7179,93.2957,58.8321,0
03.java,U1.java,71.4286,72.9167,98.5102,80.9518,0
03.java,U3.java,50.0000,63.8298,97.2559,70.3619,0
03.java,U9.java,56.3380,63.0631,96.3364,71.9125,0
03.java,O7.java,72.7273,73.6842,98.7792,81.7302,0
03.java,O4.java,43.3962,57.8947,91.3894,64.2268,0
03.java,U10.java,53.8462,62.5000,97.7266,71.3576,0
03.java,01.java,44.8980,59.1549,97.9796,67.3442,0
03.java,O8.java,57.8947,65.0000,94.9561,72.6169,0
03.java,P9.java,34.5455,48.6486,97.7266,60.3069,0
03.java,P6.java,66.1017,73.4694,96.1583,78.5765,0
03.java,02.java,51.9231,58.2278,96.2102,68.7871,0
03.java,O5.java,49.1228,61.1765,98.9618,69.7537,0
03.java,P3.java,92.3077,90.0000,99.2203,93.8427,0
03.java,U6.java,37.7358,52.0548,94.2809,61.3572,0
O6.java,P4.java,36.3636,50.6667,95.9772,61.0025,0
O6.java,P1.java,2.1277,4.1667,0.0000,2.0981,0
O6.java,U7.java,51.8519,65.8537,97.6676,71.7910,0
O6.java,U5.java,45.8333,57.1429,96.1848,66.3870,0
O6.java,09.java,53.0303,61.3861,97.5679,70.6615,0
O6.java,U2.java,61.4035,73.9130,92.4062,75.9076,0
O6.java,P7.java,54.2857,70.3704,96.0121,73.5561,0
O6.java,P10.java,49.3333,62.5000,96.3660,69.3998,0
O6.java,P2.java,66.6667,77.7778,95.7475,80.0640,0
O6.java,O10.java,57.6271,62.3656,96.8246,72.2724,0
O6.java,P8.java,67.3469,70.7317,94.4803,77.5197,0
O6.java,P5.java,60.2941,64.2202,97.1169,73.8771,0
O6.java,U4.java,42.5532,56.7164,95.8008,65.0235,0
O6.java,U8.java,35.7143,50.0000,97.4088,61.0410,0
O6.java,U1.java,56.6667,68.0851,95.8692,73.5403,0
O6.java,U3.java,43.2990,54.6763,94.8091,64.2614,0
O6.java,U9.java,53.5211,62.3853,96.0256,70.6440,0
O6.java,O7.java,57.6271,66.6667,94.9735,73.0891,0
O6.java,O4.java,36.3636,50.6667,95.9772,61.0025,0
O6.java,U10.java,52.9412,58.9744,96.1848,69.3668,0
O6.java,01.java,43.7500,57.9710,91.1977,64.3062,0
O6.java,O8.java,53.2468,67.7966,95.1009,72.0481,0
O6.java,P9.java,35.8491,47.2222,96.1848,59.7520,0
O6.java,P6.java,95.9184,97.9167,98.3481,97.3944,0
O6.java,02.java,60.4167,72.7273,96.2124,76.4521,0
O6.java,O5.java,43.1034,55.4217,97.3124,65.2792,0
O6.java,P3.java,63.3333,67.3469,97.4308,76.0370,0
O6.java,U6.java,36.5385,50.7042,96.3438,61.1955,0
P4.java,P1.java,0.9709,1.9231,0.0000,0.9647,0
P4.java,U7.java,32.6923,47.8261,97.5722,59.3635,0
P4.java,U5.java,20.0000,33.3333,94.0019,49.1118,0
P4.java,09.java,42.7273,53.5032,95.4747,63.9017,0
P4.java,U2.java,39.6226,52.7027,94.4313,62.2522,0
P4.java,P7.java,57.6923,68.2927,96.1889,74.0580,0
P4.java,P10.java,52.7273,61.9048,99.5288,71.3870,0
P4.java,P2.java,40.3846,54.7945,97.9479,64.3757,0
P4.java,O10.java,36.6972,46.9799,97.2507,60.3093,0
P4.java,P8.java,28.9720,43.4783,97.0114,56.4872,0
P4.java,P5.java,47.3214,55.7576,94.1149,65.7313,0
P4.java,U4.java,18.2692,30.8943,93.9336,47.6991,0
P4.java,U8.java,17.8571,30.3030,97.4944,48.5515,0
P4.java,U1.java,41.5094,57.3333,98.6978,65.8468,0
P4.java,U3.java,74.1071,70.7692,98.9638,81.2800,0
P4.java,U9.java,54.2056,64.2424,99.8367,72.7616,0
P4.java,O7.java,41.9048,53.6913,98.5578,64.7180,0
P4.java,O4.java,100.0000,100.0000,100.0000,100.0000,0
P4.java,U10.java,25.2336,38.8060,91.6602,51.8999,0
P4.java,01.java,19.0476,32.0000,92.2225,47.7567,0
P4.java,O8.java,59.6330,65.5172,95.8349,73.6617,0
P4.java,P9.java,16.3636,28.1250,94.0019,46.1635,0
P4.java,P6.java,38.1818,52.6316,97.4814,62.7649,0
P4.java,02.java,25.4717,39.0977,97.0747,53.8814,0
P4.java,O5.java,25.2252,40.2878,96.7871,54.1000,0
P4.java,P3.java,43.9252,55.8442,96.2755,65.3483,0
P4.java,U6.java,17.5926,28.3465,93.8664,46.6018,0
P1.java,U7.java,2.8571,5.5556,0.0000,2.8042,0
